SpeciesID,ScientificName,Scientific.Name.with.Author,CommonNameA,CommonNameB,Family,WetlandStatus
ACANH2,Acaciella angustissima,Acaciella angustissima (Mill.) Britton & Rose var. hirta (Nutt.) B.L. Turner,prairie acacia,,Fabaceae,
ACANC2,Acacia angustissima,Acacia angustissima (Mill.) Kuntze var. cuspidata (Schltdl.) L.D. Benson,,,,
ACANH,Acacia angustissima,Acacia angustissima (Mill.) Kuntze var. hirta (Nutt.) B.L. Rob.,,,,
ACANT4,Acacia angustissima,Acacia angustissima (Mill.) Kuntze var. texensis (Torr. & A. Gray) Isely,,,,
ACANT5,Acaciella angustissima,Acaciella angustissima (Mill.) Britton & Rose var. texensis (Torr. & A. Gray) L. Rico,,,,
ACCU,Acacia cuspidata,Acacia cuspidata Schltdl.,,,,
ACHI3,Acacia hirta,Acacia hirta Nutt.,,,,
ACHI4,Acaciella hirta,Acaciella hirta (Nutt.) Britton & Rose,,,,
ACTE2,Acacia texensis,Acacia texensis Torr. & A. Gray,,,,
ACANT2,Acanthomintha (A.,Acanthomintha (A. Gray) A. Gray,thorn-mint,,Lamiaceae,
ACANT3,Acanthospermum Schrank,Acanthospermum Schrank,starbur,,Asteraceae,
ACANT6,Acanthocereus (Engelm.,Acanthocereus (Engelm. ex A. Berger) Britton & Rose,triangle cactus,,Cactaceae,
ACANT7,Acanthus L.,Acanthus L.,acanthus,,Acanthaceae,
ACAP,Acarospora applanata,Acarospora applanata H. Magn.,cracked lichen,,Acarosporaceae,
ACAR,Acnistus arborescens,Acnistus arborescens (L.) Schltdl.,hollowheart,Hollowheart,Solanaceae,
DUAR4,Dunalia arborescens,Dunalia arborescens (L.) Sleumer,,,,
ACAR10,Actinidia arguta,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,tara vine,,Actinidiaceae,
ACAR14,Achnatherum aridum,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,,Poaceae,
STAR2,Stipa arida,Stipa arida M.E. Jones,,,,
ACAR16,Acalypha arvensis,Acalypha arvensis Poepp.,field copperleaf,,Euphorbiaceae,
ACAR19,Acalypha aristata,Acalypha aristata auct. non Kunth,,,,
ACAR18,Actaea arizonica,Actaea arizonica (S. Watson) J. Compton,Arizona bugbane,,Ranunculaceae,
CIAR,Cimicifuga arizonica,Cimicifuga arizonica S. Watson,,,,
ACAR2,Acinos arvensis,Acinos arvensis (Lam.) Dandy,basil thyme,,Lamiaceae,
ACTH3,Acinos thymoides,Acinos thymoides (L.) Moench,,,,
CAAC6,Calamintha acinos,Calamintha acinos (L.) Clairville ex Gaudich.,,,,
CLAC5,Clinopodium acinos,Clinopodium acinos (L.) Kuntze,,,,
SAAC,Satureja acinos,Satureja acinos (L.) Scheele,,,,
ACAR8,Acarospora arenacea,Acarospora arenacea H. Magn.,cracked lichen,,Acarosporaceae,
ACAR9,Acarospora arenosa,Acarospora arenosa Herre,cracked lichen,,Acarosporaceae,
ACARO2,Acarospora A.,Acarospora A. Massal.,cracked lichen,,Acarosporaceae,
ACAS,Achyranthes aspera,Achyranthes aspera L.,devil's horsewhip,Devil's-Horsewhip,Amaranthaceae,UPL
ACCA37,Achyranthes canescens,Achyranthes canescens R. Br.,,,,
ACAS3,Acarospora asahinae,Acarospora asahinae H. Magn.,Asahina's cracked lichen,,Acarosporaceae,
ACAS4,Acarospora asperata,Acarospora asperata H. Magn.,cracked lichen,,Acarosporaceae,
ACASA,Achyranthes aspera,Achyranthes aspera L. var. aspera,devil's horsewhip,Devil's-Horsewhip,Amaranthaceae,UPL
ACIN4,Achyranthes indica,Achyranthes indica (L.) Mill.,,,,
CEAS3,Centrostachys aspera,Centrostachys aspera (L.) Standl.,,,,
CEIN6,Centrostachys indica,Centrostachys indica (L.) Standl.,,,,
ACASP,Achyranthes aspera,Achyranthes aspera L. var. pubescens (Moq.) Townsend,devil's horsewhip,Devil's-Horsewhip,Amaranthaceae,UPL
ACAU,Acacia auriculiformis,Acacia auriculiformis A. Cunn. ex Benth.,earleaf acacia,,Fabaceae,
ACAU2,Acanthospermum australe,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,,Asteraceae,
ACXA,Acanthospermum xanthioides,Acanthospermum xanthioides DC.,,,,
MEAU,Melampodium australe,Melampodium australe Loefl.,,,,
ACAU3,Acrostichum aureum,Acrostichum aureum L.,golden leatherfern,Golden Leather Fern,Pteridaceae,OBL
ACAU6,Acalypha australis,Acalypha australis L.,Asian copperleaf,,Euphorbiaceae,
ACAUL,Acaulon Müll.,Acaulon Müll. Hal.,acaulon moss,,Pottiaceae,
ACBA,Acacia baileyana,Acacia baileyana F. Muell.,cootamundra wattle,,Fabaceae,
ACBA4,Acarospora badiofusca,Acarospora badiofusca (Nyl.) Th. Fr.,cracked lichen,,Acarosporaceae,
ACBO2,Acarospora boulderensis,Acarospora boulderensis H. Magn.,,,,
ACBE2,Acalypha berteriana,Acalypha berteriana Müll. Arg.,Guayama Copperleaf,,Euphorbiaceae,
ACBE6,Acacia beckleri,Acacia beckleri Tindale,Barrier Range wattle,,Fabaceae,
ACBI3,Acalypha bisetosa,Acalypha bisetosa Bertol. ex Spreng.,streambank copperleaf,Streambank Copperleaf,Euphorbiaceae,
ACBI4,Aconitum ×bicolor,Aconitum ×bicolor Schult. (pro sp.),twocolor monkshood,,Ranunculaceae,
ACBI5,Acacia binervata,Acacia binervata DC.,two-vein-hickory,,Fabaceae,
ACBI6,Achillea biserrata,Achillea biserrata M. Bieb.,,,Asteraceae,
ACBI9,Achyranthes bidentata,Achyranthes bidentata Blume [excluded],,Nui Xi,Amaranthaceae,
