ScientificName,AGCP,AW,CB,EMP,GP,HI,MW,NCNE,WMVC,AK,CommonName
Cyperus involucratus,OBL,FACW,OBL,FACW,FACW,FACW,FACW,OBL,FACW,,Alternate-Leaf Flat Sedge
Cyperus iria,FACW,FACW,FACW,FACW,FACW,FACW,FACW,FACW,OBL,,Ricefield Flat Sedge
Cyperus javanicus,,,,,,FACW,,,,,Javanese Flat Sedge
Cyperus laevigatus,FACW,FACW,FACW,,FAC,OBL,,,FACW,,Smooth Flat Sedge
Cyperus lancastriensis,FAC,,,FAC,,,FAC,FAC,,,Many-Flower Flat Sedge
Cyperus lanceolatus,FACW,,,,FACW,,,,,,Epiphytic Flat Sedge
Cyperus lecontei,FACW,,,FACW,,,,,,,Le Conte's Flat Sedge
Cyperus ligularis,FACW,,FAC,,,FAC,,,,,Mangrove Flat Sedge
Cyperus lupulinus,FACU,FACU,,UPL,FACU,,FACU,FACU,UPL,,Great Plains Flat Sedge
Cyperus meyenianus,,,,,,FACW,,,,,Meyen's Flat Sedge
Cyperus mutisii,,FACU,UPL,,,,,,FACU,,Mutis' Flat Sedge
Cyperus nanus,,,FACU,,,,,,,,Indian Flat Sedge
Cyperus niger,FACW,FACW,,,FACW,,,,FACW,,Black Flat Sedge
Cyperus ochraceus,FACW,,FACW,FACW,FACW,,,,,,Pond Flat Sedge
Cyperus odoratus,FACW,FACW,FACW,FACW,FACW,FACW,FACW,OBL,FACW,,Rusty Flat Sedge
Cyperus onerosus,,FACW,,,FACW,,,,,,Plains Flat Sedge
Cyperus owanii,,FAC,,,,,,,,,Owan's Flat Sedge
Cyperus oxylepis,FACW,,,,FACW,,,,,,Sharp-Scale Flat Sedge
Cyperus papyrus,OBL,OBL,OBL,,,OBL,,,,,Papyrus Flat Sedge
Cyperus parishii,,FACW,,,FACW,,,,FACW,,Parish's Flat Sedge
Cyperus phleoides,,,,,,FACU,,,,,Molokai Flat Sedge
Cyperus pilosus,FACW,,,FACW,,FACW,,,,,Fuzzy Flat Sedge
Cyperus planifolius,FAC,,FACU,,,,,,,,Flat-Leaf Flat Sedge
Cyperus polystachyos,FACW,,FACW,FACW,FACW,FACW,FACW,FACW,,,Many-Spike Flat Sedge
Cyperus prolifer,FACW,,,FACW,,OBL,,,,,Miniature Flat Sedge
Cyperus prolixus,FAC,,,,,,,,,,Mosquito Flat Sedge
Cyperus pseudovegetus,FACW,,,FACW,FACW,,FACW,FACW,,,Marsh Flat Sedge
Cyperus pumilus,FACW,,,,,,,,,,Low Flat Sedge
Cyperus reflexus,FAC,,,,FAC,,,,,,Bent-Awn Flat Sedge
Cyperus refractus,FAC,,,FACU,,,FACU,,,,Reflexed Flat Sedge
Cyperus retrofractus,FACU,,,UPL,UPL,,UPL,UPL,,,Rough Flat Sedge
Cyperus retrorsus,FACU,FAC,,FAC,FAC,,FAC,FACU,,,Pine-Barren Flat Sedge
Cyperus rockii,,,,,,FAC,,,,,Kauai Flat Sedge
Cyperus rotundus,FAC,FAC,FAC,FAC,FAC,FACU,FAC,FACU,FAC,,Purple Flat Sedge
Cyperus sandwicensis,,,,,,FACU,,,,,Cliffs Flat Sedge
Cyperus sanguinolentus,FACW,,,,,FACW,,,,,Blood-Scale Flat Sedge
Cyperus schweinitzii,UPL,FAC,,FACU,FACU,,FACU,FACU,FAC,,Sand Flat Sedge
Cyperus serotinus,OBL,,,OBL,,,,OBL,,,Tidal-Marsh Flat Sedge
Cyperus seslerioides,,FAC,,,FAC,,,,,,Texas Flat Sedge
Cyperus setigerus,FAC,,,FAC,FAC,,FAC,,,,Lean Flat Sedge
Cyperus sphacelatus,FAC,,FAC,,,FAC,,,,,Roadside Flat Sedge
Cyperus squarrosus,OBL,OBL,OBL,FACW,OBL,,OBL,OBL,OBL,,Awned Flat Sedge
Cyperus strigosus,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,,Straw-Color Flat Sedge
Cyperus subtenuis,,,FACU,,,,,,,,_?_
Cyperus surinamensis,FACW,,FACW,FACW,FACW,,FACW,,,,Tropical Flat Sedge
Cyperus tetragonus,FAC,FACU,,FAC,FAC,,,,FACU,,Four-Angle Flat Sedge
Cyperus thyrsiflorus,FAC,,,,FAC,,,,,,Southern Flat Sedge
Cyperus trachysanthos,,,,,,FACW,,,,,Sticky Flat Sedge
Cyperus trinervis,,,,,,FACW,,,,,Australian Flat Sedge
Cyperus unioloides,FACW,,OBL,,,,,,,,Uniola-Like Flat Sedge
Cyperus virens,FACW,FACW,FACW,FACW,FACW,FACW,,,FACW,,Green Flat Sedge
Cypripedium X andrewsii,,,,FACW,FACW,,FACW,FACW,,,_?_
Cypripedium acaule,FACU,,,FACU,FACW,,FACW,FACW,,,Pink Lady's-Slipper
Cypripedium arietinum,,,,,FACW,,FACW,FACW,,,Ram-Head Lady's-Slipper
Cypripedium californicum,,OBL,,,,,,,OBL,,California Lady's-Slipper
Cypripedium candidum,OBL,,,OBL,OBL,,OBL,OBL,,,Small White Lady's-Slipper
Cypripedium fasciculatum,,FACU,,,,,,,FACU,,Clustered Lady's-Slipper
Cypripedium montanum,,FACU,,,,,,,FACU,FACU,Mountain Lady's-Slipper
Cypripedium parviflorum,FAC,FACW,,FACW,FACW,,FACW,FAC,FACW,FACW,Yellow Lady's-Slipper
Cypripedium passerinum,,,,,,,,,FACW,FAC,Sparrow-Egg Lady's-Slipper
Cypripedium reginae,,,,FACW,FACW,,FACW,FACW,,,Showy Lady's-Slipper
Cypselea humifusa,FACW,FACW,OBL,,,,,,FACW,,Panal
Cyrilla racemiflora,FACW,,FACW,FACW,FACW,,,,,,Little-Leaf Titi
Cyrtandra confertiflora,,,,,,FACW,,,,,Lava Cyrtandra
Cyrtandra cyaneoides,,,,,,FACW,,,,,Mapele
Cyrtandra ferripilosa,,,,,,FACU,,,,,Red-Hair Cyrtandra
Cyrtandra filipes,,,,,,FACU,,,,,Gulch Cyrtandra
Cyrtandra gracilis,,,,,,FACU,,,,,Palolo Valley Cyrtandra
Cyrtandra grayana,,,,,,FAC,,,,,Pacific Cyrtandra
Cyrtandra grayi,,,,,,FAC,,,,,Gray's Cyrtandra
Cyrtandra hashimotoi,,,,,,FAC,,,,,Maui Cyrtandra
Cyrtandra hawaiensis,,,,,,FAC,,,,,Hawaii Cyrtandra
Cyrtandra heinrichii,,,,,,FACW,,,,,Heinrich's Cyrtandra
Cyrtandra kaulantha,,,,,,FACU,,,,,Waikane Valley Cyrtandra
Cyrtandra laxiflora,,,,,,FACU,,,,,Oahu Cyrtandra
Cyrtandra lessoniana,,,,,,FAC,,,,,Lesson's Cyrtandra
Cyrtandra longifolia,,,,,,FAC,,,,,Long-Leaf Cyrtandra
Cyrtandra lysiosepala,,,,,,FACU,,,,,Opposite-Leaf Cyrtandra
Cyrtandra macraei,,,,,,FACU,,,,,Upland Cyrtandra
Cyrtandra oenobarba,,,,,,FACW,,,,,Shaggy-Stem Cyrtandra
Cyrtandra paliku,,,,,,FACW,,,,,Cliffside Cyrtandra
Cyrtandra paludosa,,,,,,FAC,,,,,Kanawao-Ke'oke'o
Cyrtandra platyphylla,,,,,,FACU,,,,,Ilihia
Cyrtandra procera,,,,,,FACW,,,,,Bog Cyrtandra
Cyrtandra propinqua,,,,,,FACU,,,,,Arrow-Leaf Cyrtandra
Cyrtandra sessilis,,,,,,FACU,,,,,Windy-Ridge Cyrtandra
Cyrtandra spathulata,,,,,,FAC,,,,,Spoon-Leaf Cyrtandra
Cyrtandra viridiflora,,,,,,FACW,,,,,Green-Leaf Cyrtandra
Cyrtococcum oxyphyllum,,,,,,FAC,,,,,_?_
Cyrtorhyncha cymbalaria,OBL,OBL,,,OBL,,OBL,OBL,OBL,OBL,Alkali Buttercup
Cyrtorhyncha ranunculina,,FACU,,,FAC,,,,FACU,,Tadpole Alkali Buttercup
Cyrtosperma merkusii,,,,,,OBL,,,,,_?_
Cystopteris bulbifera,FAC,FAC,,FAC,FACW,,FACW,FACW,FAC,,Bulblet Bladder Fern
Cystopteris fragilis,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,FACU,Brittle Bladder Fern
Cystopteris montana,,FAC,,,,,,,FAC,FAC,Mountain Bladder Fern
Cystopteris protrusa,FAC,,,FAC,FACW,,FACW,FACU,,,Lowland Bladder Fern
Dactylis glomerata,FACU,FACU,UPL,FACU,FACU,UPL,FACU,FACU,FACU,FACU,Orchard Grass
Dactylorhiza aristata,,,,,,,,,,FAC,Keyflower
Dalbergia brownei,FACW,,,,,,,,,,Browne's Indian-Rosewood
Dalbergia candenatensis,,,,,,FACW,,,,,_?_
Dalbergia ecastaphyllum,FACW,,FACW,,,,,,,,Coinvine
Dalbergia monetaria,,,FAC,,,,,,,,Moneybush
Dalea carnea,FACW,,,,,,,,,,Whitetassels
Dalea foliosa,,,,FAC,,,FAC,FAC,,,Leafy Prairie Clover
Dalea gracilis,FAC,,,,,,,,,,Needle Prairie-Clover
Dalea leporina,UPL,UPL,,UPL,UPL,,FACU,UPL,UPL,,Fox-Tail Prairie-Clover
Damasonium californicum,,OBL,,,,,,,OBL,,Fringed-Water-Plantain
Danaea elliptica,,,FACW,,,,,,,,Caribbean Dana Fern
Danaea jenmanii,,,FACW,,,,,,,,Puerto Rico Dana Fern
Danaea nodosa,,,FACW,,,,,,,,Nodeless Dana Fern
Danaea urbanii,,,OBL,,,,,,,,Forest Dana Fern
Danthonia californica,,FAC,,,FACU,,,FACU,FAC,,California Wild Oat Grass
Danthonia compressa,FACU,,,FACU,,,FACU,FACU,,UPL,Flattened Wild Oat Grass
Danthonia decumbens,,FAC,,,,,,,FAC,,Common Heath Grass
Danthonia epilis,OBL,,,OBL,,,,,,,Bog Wild Oat Grass
Danthonia intermedia,,FACU,,,FAC,,,FAC,FACU,FAC,Timber Wild Oat Grass
Danthonia sericea,FACU,,,FACU,,,,FACU,,,Silky Wild Oat Grass
Daphne mezereum,,,,,,,,FACU,FACU,FACU,Paradise-Plant
Daphnopsis philippiana,,,FAC,,,,,,,,Emajagua-de-Sierra
Darlingtonia californica,,OBL,,,,,,,OBL,,Cobraplant
Darmera peltata,,OBL,,,,,,,OBL,,Indian-Rhubarb
Dasiphora fruticosa,,FAC,,FACW,FACW,,FACW,FACW,FAC,FAC,Golden-Hardhack
Dasistoma macrophylla,FAC,,,FACU,FAC,,FACU,FACU,,,Mullein-Foxglove
Datisca glomerata,,FACW,,,,,,,FACW,,Durango-Root
Datura wrightii,UPL,UPL,UPL,FACU,UPL,UPL,FACU,FACU,UPL,,Sacred Thorn-Apple
Daucus carota,UPL,UPL,UPL,UPL,UPL,,UPL,UPL,FACU,,Queen Anne's-Lace
Decaspermum fruticosum,,,,,,FAC,,,,,_?_
Decodon verticillatus,OBL,,,OBL,OBL,,OBL,OBL,,,Swamp-Loosestrife
Decumaria barbara,FACW,,,OBL,,,,OBL,,,Woodvamp
Deeringothamnus pulchellus,FAC,,,,,,,,,,Royal False Pawpaw
Deeringothamnus rugelii,FACW,,,,,,,,,,Rugel's False Pawpaw
Deinandra fasciculata,,FACU,,,,,,FACU,FACU,,Clustered Moonshine-Daisy
Deinandra paniculata,,FACU,,,,,,,,,San Diego Moonshine-Daisy
Delairea odorata,,FAC,,,,,,,FAC,,Cape Ivy
Delonix regia,UPL,,UPL,,,FACU,,,,,Royal Poinciana
Delosperma litorale,,FACU,,,,,,,,,Delosperma
Delphinium X burkei,,FACU,,,FACU,,,,FACU,,_?_
Delphinium X occidentale,,FACU,,,UPL,,,,FACU,,_?_
Delphinium andesicola,,FACU,,,,,,,FACU,,Chiricahua Mountain Larkspur
Delphinium barbeyi,,FAC,,,FAC,,,,FAC,,Subalpine Larkspur
Delphinium californicum,,FACU,,,,,,,FACU,,California Coast Larkspur
Delphinium geraniifolium,,FAC,,,FAC,,,,FAC,,Clark Valley Larkspur
Delphinium glaucescens,,FACU,,,FACU,,,,FACU,,Electric Peak Larkspur
Delphinium glaucum,,FACW,,,FACW,,,,FACW,FACW,Tower Larkspur
Delphinium hesperium,,FAC,,,,,,,FAC,,Foothill Larkspur
Delphinium multiplex,,FAC,,,,,,,FAC,,Kittitas Larkspur
Delphinium nuttallianum,,FAC,,,FACU,,,,FAC,,Two-Lobe Larkspur
Delphinium nuttallii,,FACU,,,,,,,FACU,,Upland Larkspur
Delphinium polycladon,,FACW,,,,,,,FACW,,Mountain-Marsh Larkspur
Delphinium recurvatum,,FACU,,,,,,,FACU,,Byron Larkspur
Delphinium sapellonis,,FAC,,,FAC,,,,FAC,,Sapello Canyon Larkspur
Delphinium scopulorum,,FAC,,,FAC,,,,FAC,,Rocky Mountain Larkspur
Delphinium uliginosum,,OBL,,,,,,,OBL,,Swamp Larkspur
Dendrolobium umbellatum,,,,,,FACU,,,,,_?_
Dendrolycopodium dendroideum,FACU,,,FACU,FAC,,FAC,FACU,FACU,FACU,Prickley Tree-Club-Moss
Dendrolycopodium obscurum,FACU,,,FACU,FACU,,FACU,FACU,,,Princess-Pine
Dendropanax arboreus,,,FACU,,,,,,,,Angelica-Tree
Dendropanax laurifolius,,,FAC,,,,,,,,Palo-de-Vaca
Dennstaedtia bipinnata,OBL,,FAC,,,,,,,,Cuplet Fern
Dennstaedtia punctilobula,UPL,,,FACU,,,UPL,UPL,,,Hay-Scented Fern
Dentella repens,FACW,,,FACW,,FAC,,,,,Lickstoop
Deparia acrostichoides,FAC,,,FAC,,,FAC,FAC,,,Silvery-Spleenwort
Deparia cataracticola,,,,,,FACW,,,,,_?_
Deparia petersenii,FACW,,,FACW,,FAC,,,,,Petersen's-Spleenwort
Deparia prolifera,,,,,,FAC,,,,,_?_
Derris trifoliata,,,,,,FAC,,,,,_?_
Deschampsia brevifolia,,FACW,,,FACW,,,,FACW,OBL,Short-Leaf Hair Grass
Deschampsia caespitosa,FACW,FACW,,FACW,FACW,,FACW,FACW,FACW,FAC,Tufted Hair Grass
Deschampsia danthonioides,,FACW,,,FACW,,FACW,FACW,FACW,FAC,Annual Hair Grass
Deschampsia elongata,FACW,FACW,,,FAC,,,FACW,FACW,FAC,Slender Hair Grass
Deschampsia flexuosa,UPL,,,FACU,UPL,,FACU,FACU,FACU,UPL,Wavy Hair Grass
Deschampsia nubigena,,,,,,FAC,,,,,Hawaii Alpine Hair Grass
Descurainia adenophora,,FACU,,,FACU,,,,FACU,,_?_
Descurainia incana,,FACU,,,UPL,,UPL,UPL,FACU,UPL,Mountain Tansy-Mustard
Desmanthus illinoensis,FAC,FACU,,FAC,FACU,,FACU,FACU,FACU,,Prairie Bundle-Flower
Desmanthus pernambucanus,,,FACU,,,FACU,,,,,Pigeon Bundle-Flower
Desmanthus virgatus,FACU,FACU,FACU,,FACU,FACU,,,,,Wild Tantan
Desmodium adscendens,,,FAC,,,,,,,,Zarzabacoa-Galana
Desmodium barbatum,,,FACW,,,FACU,,,,,Zarzabacoa-Peluda
Desmodium canadense,FAC,,,FAC,FAC,,FACU,FAC,FACU,,Showy Tick-Trefoil
Desmodium heterocarpon,,,,,,FACU,,,,,Asian Tick-Trefoil
Desmodium heterophyllum,,,,,,FACU,,,,,Variable-Leaf Tick-Trefoil
Desmodium incanum,FAC,,FACU,,FAC,FACU,,,,,Zarzabacoa-Comun
Desmodium paniculatum,FACU,,,FACU,UPL,,FACU,FACU,,,Panicled-Leaf Tick-Trefoil
Desmodium sandwicense,,,,,,FACU,,,,,Hawaii Tick-Trefoil
Desmodium scorpiurus,FACU,,FAC,,FACU,,,,,,Scorpion Tick-Trefoil
Desmodium tenuifolium,FACU,,,FAC,,,,,,,Slim-Leaf Tick-Trefoil
Desmodium tortuosum,FAC,,FACU,FACU,FACU,FACU,,,,,Dixie Tick-Trefoil
Desmodium triflorum,FACU,,FACU,,,FAC,,,,,Three-Flower Tick-Trefoil
Diamorpha smallii,FACW,,,FACW,,,,,,,Elf Orpine
Dianella saffordiana,,,,,,FACU,,,,,_?_
Dianella sandwicensis,,,,,,FACU,,,,,Uki'uki
Dianthus armeria,UPL,UPL,,UPL,UPL,UPL,UPL,UPL,FACU,,Deptford Pink
Dianthus deltoides,UPL,FAC,,UPL,UPL,,FACU,UPL,FAC,,Maiden Pink
Diarrhena obovata,FAC,,,FACU,FAC,,FAC,FACU,,,Hairy Beakgrain
Dicentra formosa,,FACU,,,,,,FACU,FACU,,Pacific Bleedinghearts
Dichanthelium aciculare,FACU,,FACU,FACU,FACU,,FACU,FACU,,,Needle-Leaf Rosette Grass
Dichanthelium acuminatum,FAC,FAC,FACU,FAC,FAC,,FAC,FAC,FAC,,Tapered Rosette Grass
Dichanthelium boreale,FACU,,,FACU,FACU,,FAC,FAC,,,Northern Rosette Grass
Dichanthelium clandestinum,FACW,,,FAC,FAC,,FACW,FACW,,,Deer-Tongue Rosette Grass
Dichanthelium commutatum,FAC,,,FACU,FAC,,FAC,FAC,,,Variable Rosette Grass
Dichanthelium consanguineum,FACU,,,FACU,FACU,,,,,,Blood Rosette Grass
Dichanthelium cynodon,,,,,,OBL,,,,,Tussock Rosette Grass
Dichanthelium dichotomum,FAC,,FAC,FAC,FAC,,FAC,FAC,,,Cypress Rosette Grass
Dichanthelium erectifolium,OBL,,,OBL,,,,,,,Erect-Leaf Rosette Grass
Dichanthelium hillebrandianum,,,,,,FACW,,,,,Bog Rosette Grass
Dichanthelium hirstii,OBL,,,,,,,,,,Hirsts' Rosette Grass
Dichanthelium isachnoides,,,,,,OBL,,,,,Maui Rosette Grass
Dichanthelium koolauense,,,,,,OBL,,,,,Koolau Rosette Grass
Dichanthelium latifolium,FACU,,FACU,FACU,FACU,,FACU,FACU,,,Broad-Leaf Rosette Grass
Dichanthelium laxiflorum,FAC,,,FACU,FAC,,FACU,FACU,,,Open-Flower Rosette Grass
Dichanthelium leibergii,,,,FACU,FACU,,FACU,FACU,FACU,,Leiberg's Rosette Grass
Dichanthelium leucothrix,FACW,FACW,FACW,FACW,FACW,,FACW,FACW,FACW,,Rough Rosette Grass
Dichanthelium oligosanthes,FACU,FACU,,FACU,FACU,,FACU,FACU,FACU,,Heller's Rosette Grass
Dichanthelium ovale,FACU,,FACU,FACU,FACU,,FACU,FACU,,,Egg-Leaf Rosette Grass
Dichanthelium portoricense,FACU,,FAC,FACU,FAC,,FACU,FACU,,,Hemlock Rosette Grass
Dichanthelium ravenelii,FACU,,,FACU,FAC,,FAC,,,,Ravenel's Rosette Grass
Dichanthelium scabriusculum,OBL,,,OBL,OBL,,,OBL,,,Woolly Rosette Grass
Dichanthelium scoparium,FACW,,FAC,FACW,FACW,,FACW,FACW,,,Broom Rosette Grass
Dichanthelium sphaerocarpon,FACU,FACU,,FACU,FACU,,FACU,FACU,,,Round-Seed Rosette Grass
Dichanthelium strigosum,FAC,,FACU,FAC,FACW,,,,,,Rough-Hair Rosette Grass
Dichanthelium wrightianum,FACW,,,,,,,,,,Rosette Grass
Dichanthium aristatum,FACU,,UPL,,FACU,FACU,,,,,Angleton's Bluestem
Dichanthium caricosum,,,,,,FAC,,,,,_?_
Dichelostemma capitatum,,FACU,,,,,,,FACU,,Bluedicks
Dichondra carolinensis,FAC,,,FACW,FAC,,FAC,FACW,,,Carolina Pony's-Foot
Dichondra micrantha,FAC,FACW,FACW,FAC,FACW,FACU,,,FACW,,Asian Pony's-Foot
Dichondra recurvata,FAC,,,,FAC,,,,,,Oakwoods Pony's-Foot
Dichondra sericea,,FACU,,,,,,,,,Silver-Leaf Pony's-Foot
Dicliptera brachiata,FACW,,,FACW,FACW,,FACW,,,,Branched Foldwing
Dicliptera chinensis,,,,,,FAC,,,,,Chinese Foldwing
Dicliptera sexangularis,FAC,,UPL,,FAC,,,,,,Six-Angle Foldwing
Dicranopteris flexuosa,FAC,,FAC,,,,,,,,Drooping Forked Fern
Dicranopteris linearis,,,,,,FACU,,,,,False Stag-Horn Fern
Dicranopteris pectinata,,,FAC,,,,,,,,Comb Forked Fern
Dicranopteris rubiginosa,,,FAC,,,,,,,,Tropical Forked Fern
Didiplis diandra,OBL,OBL,,OBL,OBL,,OBL,OBL,OBL,,Water-Purslane
Didymoglossum petersii,FAC,,,FAC,,,,,,,Dwarf Filmy Fern
Didymoplexis fimbriata,,,,,,FAC,,,,,_?_
Dieffenbachia seguine,FACU,,FAC,,,FACU,,,,,Dumb-Cane
Dieteria bigelovii,,FACW,,,FACW,,,,FACW,,Bigelow's False Tansy-Aster
Dieteria canescens,,UPL,,,UPL,,FAC,FAC,FAC,,Hoar False Tansy-Aster
Digitalis purpurea,UPL,FACU,,UPL,UPL,,,FACU,FACU,FACU,Purple Foxglove
Digitaria bicornis,UPL,,UPL,UPL,FACU,FACU,FACU,,,,Asian Crab Grass
Digitaria ciliaris,FACU,FACU,UPL,FAC,FACU,FAC,FACU,FACU,FAC,,Southern Crab Grass
Digitaria eriantha,FACU,FACU,FACU,,FACU,FAC,,,FACU,,Pangola Grass
Digitaria horizontalis,FACU,,UPL,FACU,,FAC,,,,,Jamaican Crab Grass
Digitaria insularis,FAC,UPL,FACU,FAC,FAC,FACU,FACU,,,,Sour Grass
Digitaria ischaemum,UPL,FACU,UPL,UPL,UPL,,FACU,FACU,FACU,,Smooth Crab Grass
Digitaria pauciflora,FACW,,,,,,,,,,Two-Spike Crab Grass
Digitaria radicosa,,,,,,FAC,,,,,Trailing Crab Grass
Digitaria sanguinalis,FACU,FACU,UPL,FACU,FACU,,FACU,FACU,FACU,,Hairy Crab Grass
Digitaria serotina,FAC,,,FAC,,,,,,,Dwarf Crab Grass
Digitaria setigera,FAC,,UPL,,,FAC,,,,,East Indian Crab Grass
Digitaria violascens,FAC,,UPL,FAC,FAC,FAC,FAC,FACU,,,Violet Crab Grass
Dilomilis montana,,,FACW,,,,,,,,Parrot-Beak Orchid
Dinebra nealleyi,OBL,FACW,FACW,,FACW,,,,,,Nealley's Viper Grass
Dinebra panicea,FACW,FACW,FACW,FACW,FACW,,FACW,FACW,FACW,,Needle Viper Grass
Dinebra panicoides,FACW,,FACW,FACW,FACW,,FACW,,,,Amazon Viper Grass
Dinebra scabra,FACW,,OBL,,,,,,,,Rough Viper Grass
Dinebra viscida,,FACU,,,FACU,,,,FACW,,Sonoran Viper Grass
Diodia serrulata,,,FACU,,,,,,,,Seaside Buttonweed
Diodia teres,FACU,FACU,,UPL,FACU,,FACU,FACU,FACU,,Poorjoe
Diodia virginiana,FACW,FACW,,FACW,OBL,,FACW,FACW,FACW,,Virginia Buttonweed
Dionaea muscipula,FACW,,,FACW,,,,,,,Venus' Flytrap
Dioscorea pentaphylla,,,,,,FACU,,,,,Five-Leaf Yam
Dioscorea villosa,FACW,,FAC,FAC,FAC,,FAC,FAC,,,Wild Yam
Diospyros blancoi,,,,,,UPL,,,,,Velvet-Apple
Diospyros virginiana,FAC,FAC,,FAC,FAC,,FAC,FAC,FACU,,Common Persimmon
Diphasiastrum alpinum,,FAC,,,,,,FACU,FAC,FACU,Alpine Creeping-Cedar
Diphasiastrum complanatum,,FAC,,,,,FACU,FACU,FAC,FACU,Trailing Creeping-Cedar
Diphylleia cymosa,,,,FACU,,,,,,,American Umbrella-Leaf
Diplachne fusca,FACW,FACW,FACW,FACW,FACW,FACW,OBL,OBL,FACW,,Bearded Sprangletop
Diplacus aurantiacus,,FACU,,,,,,,FACU,,Orange Bush-Monkey-Flower
Diplacus parviflorus,,FACU,,,,,,,,,Island Bush-Monkey-Flower
Diplazium arnottii,,,,,,FACU,,,,,Arnott's Twin-Sorus Fern
Diplazium centripetale,,,OBL,,,,,,,,Royal Twin-Sorus Fern
Diplazium cristatum,,,FACW,,,,,,,,Crested Twin-Sorus Fern
Diplazium esculentum,FACW,,,,,FACW,,,,,Vegetable Fern
Diplazium expansum,,,OBL,,,,,,,,Great Fern
Diplazium grandifolium,,,FACW,,,,,,,,Large-Leaf Twin-Sorus Fern
Diplazium hymenodes,,,FACW,,,,,,,,Peacock Fern
Diplazium lherminieri,,,OBL,,,,,,,,L'herminier's Twin-Sorus Fern
Diplazium plantaginifolium,,,FAC,,,,,,,,Plantain-Leaf Twin-Sorus Fern
Diplazium pycnocarpon,FAC,,,FAC,,,FACU,FAC,,,Glade Fern
Diplazium riedelianum,,,FAC,,,,,,,,Riedel's Twin-Sorus Fern
Diplazium sandwichianum,,,,,,FAC,,,,,Hawaii Twin-Sorus Fern
Diplazium striatum,,,OBL,,,,,,,,Striped Twin-Sorus Fern
Diplazium unilobum,,,FACU,,,,,,,,Single-Lobe Twin-Sorus Fern
Diplazium woodwardioides,,,,,,FACU,,,,,_?_
Diplopterygium pinnatum,,,,,,FACU,,,,,Scrambling Fern
Dipsacus fullonum,FACU,FAC,,FACU,FACU,,FACU,FACU,FAC,,Fuller's Teasel
Dipsacus laciniatus,FACU,FACU,,FACU,UPL,,UPL,FACU,FACU,,Cut-Leaf Teasel
Dirca occidentalis,,FAC,,,,,,,FAC,,Western Leatherwood
Dirca palustris,FACU,,,FAC,FAC,,FAC,FAC,,,Eastern Leatherwood
Distichlis littoralis,OBL,OBL,,,OBL,,,,,,Shore Grass
Distichlis spicata,OBL,FAC,,FACW,FACW,FACW,FACW,FACW,FACW,,Coastal Salt Grass
Ditrysinia fruticosa,FAC,,,FACW,FAC,,,,,,Gulf Sebastian-Bush
Ditta myricoides,,,FACW,,,,,,,,Gale Jaboncillo
Dodecatheon alpinum,,FACW,,,,,,,FACW,,Alpine Shootingstar
Dodecatheon conjugens,,FACU,,,FACU,,,,FACU,,Bonneville Shootingstar
Dodecatheon dentatum,,FACW,,,,,,,FACW,,White Shootingstar
Dodecatheon frigidum,,,,,,,,,,FACW,Western Arctic Shootingstar
Dodecatheon jeffreyi,,FACW,,,,,,,FACW,FACW,Tall Mountain Shootingstar
Dodecatheon meadia,FACU,,,FACU,FAC,,FACU,FACU,,,Pride-of-Ohio
Dodecatheon poeticum,,FAC,,,,,,,FAC,,Poet's Shootingstar
Dodecatheon pulchellum,,FACW,,,FACW,,,,FACW,FACW,Dark-Throat Shootingstar
Dodecatheon redolens,,OBL,,,,,,,OBL,,Scented Shootingstar
Dodecatheon subalpinum,,FACU,,,,,,,FACU,,Sierran Shootingstar
Dodonaea viscosa,UPL,FACU,UPL,,,FACU,,,UPL,,Florida Hopbush
Doellingeria sericocarpoides,FACW,,,FACW,FACW,,,FACW,,,Southern White-Top
Doellingeria umbellata,FACW,,,FACW,OBL,,FACW,FACW,,,Parasol White-Top
Dopatrium junceum,OBL,OBL,,,,OBL,,,OBL,,Horsefly's-Eye
Dovyalis hebecarpa,,,UPL,,,FACU,,,,,Ceylon-Gooseberry
Downingia bacigalupii,,OBL,,,,,,,OBL,,Bach's Calico-Flower
Downingia bella,,OBL,,,,,,,OBL,,Hoover's Calico-Flower
Downingia bicornuta,,OBL,,,,,,,OBL,,Double-Horn Calico-Flower
Downingia concolor,,OBL,,,,,,,OBL,,Maroon-Spot Calico-Flower
Downingia cuspidata,,OBL,,,,,,,OBL,,Toothed Calico-Flower
Downingia elegans,,OBL,,,,,,,OBL,,Elegant Calico-Flower
Downingia insignis,,OBL,,,,,,,OBL,,Harlequin Calico-Flower
Downingia laeta,,OBL,,,,,,,OBL,,Great Basin Calico-Flower
Downingia montana,,OBL,,,,,,,OBL,,Sierran Calico-Flower
Downingia ornatissima,,OBL,,,,,,,OBL,,Folded Calico-Flower
Downingia pulchella,,OBL,,,,,,,OBL,,Flat-Face Calico-Flower
Downingia pulcherrima,,FACW,,,,,,,FACW,,_?_
Downingia pusilla,,OBL,,,,,,,OBL,,Dwarf Calico-Flower
Downingia willamettensis,,OBL,,,,,,,OBL,,Willamette Calico-Flower
Downingia yina,,OBL,,,,,,,OBL,,Cascade Calico-Flower
Draba albertina,,FAC,,,FAC,,,,FAC,FAC,Slender Whitlow-Grass
Draba aurea,,FACU,,,FAC,,,,FACU,UPL,Golden Whitlow-Grass
